station,station_naam,valid_time,hi_p10,hi_p50,hi_p90,n_runs,temp_c,rh,run,risico,risico_key,bias_corrected
afobaka,Brokopondo / Afobaka,2026-07-18 06:00:00+00:00,23.439716719733365,23.530854803721134,23.586118854946584,4.0,22.753381347656273,96.4000015258789,2026-07-18 06:00:00+00:00,Normaal,normaal,False
afobaka,Brokopondo / Afobaka,2026-07-18 09:00:00+00:00,22.996456054687528,23.24823451783925,23.41269861348473,4.0,22.648187255859398,95.4000015258789,2026-07-18 06:00:00+00:00,Normaal,normaal,False
afobaka,Brokopondo / Afobaka,2026-07-18 12:00:00+00:00,26.51305053075158,26.69557178921172,26.745173019833057,4.0,26.008355712890648,78.30000305175781,2026-07-18 06:00:00+00:00,Normaal,normaal,False
afobaka,Brokopondo / Afobaka,2026-07-18 15:00:00+00:00,32.78051788873769,32.85673843130819,33.14411885177988,4.0,30.972894287109398,53.400001525878906,2026-07-18 06:00:00+00:00,Let op,let_op,False
afobaka,Brokopondo / Afobaka,2026-07-18 18:00:00+00:00,31.605284083875414,32.09903317387838,32.81934895578148,4.0,30.511590576171898,56.400001525878906,2026-07-18 06:00:00+00:00,Let op,let_op,False
afobaka,Brokopondo / Afobaka,2026-07-18 21:00:00+00:00,29.121868306209876,29.15984660056725,29.30169892872443,4.0,27.203851318359398,69.20000457763672,2026-07-18 06:00:00+00:00,Normaal,normaal,False
afobaka,Brokopondo / Afobaka,2026-07-19 00:00:00+00:00,25.117352655198868,25.520628274281844,26.058401287078883,4.0,24.739709472656273,85.30000305175781,2026-07-18 06:00:00+00:00,Normaal,normaal,False
afobaka,Brokopondo / Afobaka,2026-07-19 03:00:00+00:00,23.66372956932918,24.389290580749538,25.403684409671385,4.0,22.832025146484398,94.20000457763672,2026-07-18 06:00:00+00:00,Normaal,normaal,False
afobaka,Brokopondo / Afobaka,2026-07-19 06:00:00+00:00,23.03700651550296,23.38005693223744,24.145465023464656,4.0,22.250024414062523,95.4000015258789,2026-07-18 06:00:00+00:00,Normaal,normaal,False
afobaka,Brokopondo / Afobaka,2026-07-19 09:00:00+00:00,22.7805488823785,22.842283454471193,23.332476036495663,4.0,22.061822509765648,95.0,2026-07-18 06:00:00+00:00,Normaal,normaal,False
afobaka,Brokopondo / Afobaka,2026-07-19 12:00:00+00:00,26.28291966840959,26.584479105207684,26.705073367648684,4.0,25.567742919921898,76.30000305175781,2026-07-18 06:00:00+00:00,Normaal,normaal,False
afobaka,Brokopondo / Afobaka,2026-07-19 15:00:00+00:00,32.5239901839222,32.817009217721036,33.126046756802275,4.0,30.762078857421898,52.5,2026-07-18 06:00:00+00:00,Let op,let_op,False
afobaka,Brokopondo / Afobaka,2026-07-19 18:00:00+00:00,34.28871111991244,34.44653464786477,34.65249475798842,4.0,33.07369384765627,43.400001525878906,2026-07-18 06:00:00+00:00,Let op,let_op,False
afobaka,Brokopondo / Afobaka,2026-07-19 21:00:00+00:00,29.84493898763072,30.36629076670233,31.530747894651487,4.0,27.961846923828148,63.900001525878906,2026-07-18 06:00:00+00:00,Normaal,normaal,False
afobaka,Brokopondo / Afobaka,2026-07-20 00:00:00+00:00,24.641650897132056,24.96883150948421,25.421794709947402,4.0,23.867791748046898,89.0999984741211,2026-07-18 06:00:00+00:00,Normaal,normaal,False
afobaka,Brokopondo / Afobaka,2026-07-20 03:00:00+00:00,23.660707795461043,23.688375297122562,23.872742225647002,4.0,22.854699707031273,94.5,2026-07-18 06:00:00+00:00,Normaal,normaal,False
afobaka,Brokopondo / Afobaka,2026-07-20 06:00:00+00:00,23.06555779520673,23.076153827243402,23.14909133360124,4.0,22.294976806640648,95.70000457763672,2026-07-18 06:00:00+00:00,Normaal,normaal,False
afobaka,Brokopondo / Afobaka,2026-07-20 09:00:00+00:00,22.780653646257218,22.794650071462023,22.81862830352786,4.0,22.050012207031273,95.5999984741211,2026-07-18 06:00:00+00:00,Normaal,normaal,False
afobaka,Brokopondo / Afobaka,2026-07-20 12:00:00+00:00,25.718811625586643,25.846928804185676,26.31244921027292,4.0,25.187860107421898,83.30000305175781,2026-07-18 06:00:00+00:00,Normaal,normaal,False
afobaka,Brokopondo / Afobaka,2026-07-20 15:00:00+00:00,32.470012568032814,32.6210662913835,32.85317417267687,4.0,30.798883056640648,52.20000076293945,2026-07-18 06:00:00+00:00,Let op,let_op,False
afobaka,Brokopondo / Afobaka,2026-07-20 18:00:00+00:00,30.32347068388025,31.07982431853479,32.41649628656845,4.0,30.201470947265648,58.0,2026-07-18 06:00:00+00:00,Normaal,normaal,False
